range,from_id,to_id,tx1,rx1,tx2,rx2,tx3,rx3,fpp1,fpp2,skew1,skew2,r_iw_a_ifo001,q_ai_ifo001,r_iw_a_ifo002,q_ai_ifo002,r_iw_a_ifo003,q_ai_ifo003,gt_range,bias,pair,del_t1,del_t2,del_t3,del_t4,range_raw,bias_raw,tx1_raw,tx2_raw,tx3_raw,rx1_raw,rx2_raw,rx3_raw,std,timestamp
2.734354695928727,11,30,101217761210.82584,97001101286.75018,97001407789.42668,101218067731.49348,97002946507.37538,101219606448.15724,-85.06169891357422,-84.09519958496094,0.3743000030517578,-0.9695000052452089,[ 1.18747476 -1.19851653  1.07687465],[ 5.79349561e-04  1.61800262e-02  9.35761495e-01 -3.52260542e-01],[1.1161339  0.68644335 0.8998831 ],[-0.01705474  0.02456834  0.90489001 -0.42459333],[-0.96280996 -0.46805523  1.03906434],[ 0.00384753 -0.00979376  0.92503932  0.37972389],2.572728194373364,0.161626501555363,"(11, 30)",306521.10565185547,306502.0595550537,1538716.759307861,1538717.94871521,2.88949990272522,0.3167717083518564,101217761210.7478,97001407789.27356,97002946507.22227,97001101287.214,101218067731.85344,101219606448.61276,0.2002752541235667,103.86411046981812
2.2208018432499377,31,11,101259533029.6762,100635839171.99644,100636143470.44124,101259837343.42426,100637682188.38995,101261376063.8164,-85.83489990234375,-84.50460052490234,-1.807600021362305,1.4667999744415283,[ 1.07499269 -1.08061985  1.04887952],[-0.00490363  0.0156389   0.94539655 -0.32550853],[1.02070942 0.80731596 0.91276685],[-0.01634608  0.02152716  0.91523438 -0.40201355],[-0.88662644 -0.59088515  1.02846381],[ 0.01761123 -0.00467188  0.922157    0.38638472],2.2356804868252453,-0.0148786435753076,"(31, 11)",304314.0587463379,304298.0174560547,1538720.4683685305,1538717.94871521,2.3290998935699463,0.0934194067447009,101259533029.65808,100636143470.3632,100637682188.31192,100635839172.34576,101259837343.7168,101261376064.18518,0.1987817439082167,104.08089971542358
1.2568601097019303,31,10,101792150826.15054,98749099289.70456,98749403510.50862,101792455055.61076,98750942228.45734,101793993774.9189,-81.46479797363281,-80.72830200195312,-0.9805999994277954,1.257200002670288,[ 0.77295222 -0.79821577  1.00630512],[ 0.00616331  0.015347    0.9510817  -0.30849623],[0.78141376 1.13016975 0.93318271],[-0.01658589  0.0141693   0.95492641 -0.2960397 ],[-0.67698208 -0.89885354  1.02961889],[ 0.01144924 -0.00565672  0.90952478  0.41545182],1.3223535475452342,-0.0654934378433038,"(31, 10)",304229.2981262207,304220.6749572754,1538719.388519287,1538717.94871521,1.249500036239624,-0.0728535113056101,101792150826.13242,98749403510.42735,98750942228.37608,98749099289.7524,101792455055.43054,101793993774.81906,0.1063722474002719,104.63336253166199
4.163765971729386,31,1,101858864560.1249,28451780.055775613,28758294.16217438,101859171103.72893,30297012.11089233,101860709830.27013,-91.51570129394533,-89.43550109863281,-5.537600040435791,5.439799785614014,[ 0.70472168 -0.73710489  1.00232753],[ 0.01997413  0.01470518  0.94948224 -0.31283883],[0.72855399 1.20569505 0.93606395],[-0.01854947  0.01600161  0.9617806  -0.2727216 ],[-0.62928925 -0.96935535  1.02998558],[ 0.01296269 -0.00389938  0.89977082  0.4361495 ],4.161625694721108,0.0021402770082774,"(31, 1)",306543.7042999268,306513.9692257643,1538726.618850708,1538717.948717948,4.197000026702881,0.0353743319817727,101858864560.10677,28758294.08303285,30297012.0317508,28451780.11380709,101859171103.81108,101860709830.42992,0.1834206436640491,104.75947046279907
3.995075743531468,31,2,101984861595.3813,51704980.12793742,52009704.42595843,101985166349.15822,53548422.37467638,101986705081.33968,-83.49929809570312,-83.43150329589844,-9.438899993896484,9.047699928283691,[ 0.63350569 -0.66954329  1.00471552],[ 0.02240076  0.01594389  0.94899494 -0.31408764],[0.67124261 1.28808723 0.93886227],[-0.01951805  0.01953206  0.96490412 -0.26114634],[-0.58131946 -1.04463402  1.02931594],[ 0.01021866 -0.00212948  0.88318156  0.46891294],3.977586683421425,0.017489060110043,"(31, 2)",304754.0439758301,304723.87069311,1538732.2685089111,1538717.9487179443,4.096499919891357,0.1189132364699321,101984861595.36316,52009704.33944311,53548422.288161054,51704980.46875,101985166349.40717,101986705081.67566,0.1961382468554703,104.89197015762329
1.6153688410789604,30,11,102982512861.5419,103636701183.75046,103637026018.5181,102915621297.08768,103638564736.4668,102917160016.24312,-83.28959655761719,-84.08480072021484,-0.5735999941825867,0.4785999953746795,[-0.04246037  0.06833365  0.98948818],[ 0.00252531 -0.00470108  0.95989693 -0.2802997 ],[-0.04487004  2.06893384  0.97028566],[ 0.00487065 -0.01274707  0.94695529 -0.32107474],[ 0.0638557  -1.99790347  1.01086432],[-0.01120924  0.009683    0.79385828  0.60792206],1.8220863892343016,-0.2067175481553411,"(30, 11)",-66891563.84590149,324834.37562561035,1538719.0598754885,1538717.94871521,1.7682000398635864,-0.0538863493707151,102982512861.3888,103637026018.44006,103638564736.38878,103636701184.06444,102915621297.5429,102917160016.60275,0.1979795331927999,107.09578323364258
1.980761816977456,11,31,104690582989.67192,105448715778.03816,105449019856.59917,104690887080.93732,105450558574.54788,104692425796.2861,-88.91600036621094,-91.3856964111328,1.8411999940872192,-1.997599959373474,[0.010499   0.05539274 0.98270208],[-0.00586171 -0.00373283  0.97961813 -0.20074123],[-0.01931105  2.04975428  0.97946659],[-0.00257901 -0.00166079  0.94105682 -0.33823444],[ 0.06525792 -1.98998956  1.00474839],[-0.00380936  0.00637412  0.78577834  0.61846357],2.157980767528127,-0.1772189505506713,"(11, 31)",304091.40562438965,304078.43173217773,1538715.2725524902,1538717.94871521,2.023400068283081,-0.134580699245046,104690582989.59389,105449019856.58104,105450558574.52975,105448715778.1493,104690887080.99953,104692425796.27206,0.183543405270798,107.33474016189575
2.8623682493912384,31,3,104636581082.56071,16663923.28420045,17026114.695147626,104636943294.47438,18564832.64386557,104638482018.37636,-82.54859924316406,-82.03929901123047,-3.99810004234314,3.368499994277954,[0.0644001  0.0239954  0.98430101],[ 3.10204781e-03  6.26671975e-04  9.95380188e-01 -9.59313951e-02],[0.00342786 2.02456512 0.98799833],[-0.00559892  0.00265728  0.93689821 -0.34954719],[ 0.04926842 -1.971519    0.99315624],[0.00865071 0.0036228  0.77740304 0.62893234],2.9028599940262727,-0.0404917446350343,"(31, 3)",362212.0079650879,362191.0525590945,1538724.005279541,1538717.948717948,2.926500082015991,0.0236400879897185,104636581082.5426,17026114.595853366,18564832.544571318,16663923.543294271,104636943294.55057,104638482018.55585,0.1693408855574683,107.59660458564758
3.5963130261247302,30,21,105482659335.90082,106339760913.18854,106340066251.1017,105415748287.63716,106341604969.05042,105417287005.99084,-85.9364013671875,-84.6718978881836,-0.1089000031352043,0.0381000004708766,[-0.07395704 -0.10876139  0.66427052],[0.02269063 0.00860315 0.77745865 0.628463  ],[-9.67235423e-04  1.97825484e+00  1.15852636e+00],[ 0.00339829  0.01128529  0.98440334 -0.17552325],[ 0.01482939 -1.93798345  0.97647671],[ 0.0161455  -0.00191205  0.62774136  0.77825201],3.690622830945692,-0.0943098048209618,"(30, 21)",-66911047.64497376,305337.0079650879,1538718.527770996,1538717.94871521,3.8194000720977774,0.1287772411520853,105482659335.74773,106340066250.8118,106341604968.76051,106339760913.80383,105415748288.10274,105417287006.63052,0.1982306031134507,109.6076385974884
3.764820217657868,30,1,107125175081.0931,52627073.63036718,52932452.81602053,107058264076.44128,54471170.764738485,107059802800.91632,-89.49720001220703,-89.77539825439453,-4.496399879455566,4.137800216674805,[-0.04275575 -0.04554686  0.57853984],[0.02089548 0.00654444 0.75091505 0.66003492],[0.02858454 2.01839356 1.41770892],[-0.00543395 -0.0117297   0.92582836  0.37771347],[ 0.04627162 -2.00515636  0.97613375],[3.01155995e-04 5.27303695e-03 4.15364250e-01 9.09639758e-01],3.740223511791254,0.0245967058666134,"(30, 1)",-66911004.26307678,305378.95007011294,1538724.3808898926,1538717.9487179518,3.8610999584198,0.1208764466285456,107125175080.94,52932452.736879006,54471170.68559696,52627073.78680889,107058264076.67693,107059802801.0578,0.1837587696929041,111.29668974876404
4.4352133689432085,31,20,108607408863.00935,107583716545.9484,107584023133.90492,108607715481.13376,107585561851.85364,108609254201.94553,-85.29460144042969,-84.3759994506836,-2.769700050354004,1.9026000499725344,[-0.03854039 -0.01052814  0.57203224],[1.89262507e-02 2.51975547e-04 7.26259967e-01 6.87159349e-01],[0.02490952 2.01342416 1.43013518],[-0.00746936 -0.00803303  0.88540396  0.46469156],[ 0.05258939 -2.01688624  0.97319567],[8.95352026e-04 9.48026629e-03 3.72131848e-01 9.28130902e-01],4.265387448073346,0.1698259208698624,"(31, 20)",306618.43324279785,306587.5087585449,1538720.8909301758,1538717.94871521,4.546199798583984,0.2808123505106383,108607408862.99124,107584023133.82458,107585561851.7733,107583716546.31584,108607715481.42448,108609254202.3154,0.1997742845816959,111.58146619796753
2.655907687861076,30,10,108384060297.4392,106618894754.79443,106619199327.81612,108317148477.85329,106620738045.76485,108318687195.42392,-80.66819763183594,-81.74299621582031,-0.0082999998703598,-0.1395999938249588,[-0.01927564 -0.02706833  0.5849049 ],[0.00569148 0.01963461 0.73467353 0.67811268],[0.0093255  2.00249145 1.43639774],[-0.00862955 -0.0049913   0.79968862  0.60033137],[ 0.07780075 -1.99245486  0.97207751],[ 0.01881664 -0.00365255  0.21529308  0.97636097],2.241555555345995,0.4143521325150807,"(30, 10)",-66911819.23890686,304573.05125427246,1538717.4792175293,1538717.94871521,2.7060999870300293,0.4645444316840343,108384060297.2861,106619199327.73486,106620738045.68358,106618894754.6836,108317148478.0472,108318687195.5264,0.1120341872735486,112.55400538444519
6.2768220077601855,31,0,110018375593.77856,15520983.105465174,15826795.69362714,110018681450.62949,17365513.642345086,110020220180.53204,-100.7707977294922,-98.3156967163086,-7.876100063323975,7.237299919128418,[-0.02422354 -0.05335826  0.63611793],[-0.0343301  -0.03889481  0.67042295  0.74016154],[0.00978866 1.99475921 1.39640829],[0.07438494 0.05007514 0.77803175 0.62178079],[ 0.06076083 -1.99486284  1.01685003],[-0.00684024 -0.03948315  0.08204322  0.99582217],6.361329262662893,-0.0845072549027072,"(31, 0)",305856.6831970215,305812.80048076995,1538729.889694214,1538717.9487179462,6.220200061798096,-0.141129200864797,110018375593.76042,15826795.685596956,17365513.634314902,15520982.885116186,110018681450.44362,110020220180.33331,0.1888488969619236,112.98607301712036
