category,statistic,exp,fold,scenario,rmse_3d,rmse_x,rmse_y,rmse_z,nees,rmse_3d_std,nees_std,notes,source
Fixed tracker,per_experiment,default_3_zigzag_1,,Fixed_ifo001,0.693526481242333,0.5537492346733494,0.4020840705698448,0.1125573874831611,0.5874259609716281,,,fixed_tracker=ifo001,runs/20250928_170847_notebook_cv_eval/zig_sections/fixed_tracker_ifo001/fixed_tracker_summary.csv
Fixed tracker,per_experiment,default_3_zigzag_2,,Fixed_ifo001,3.074954924732922,1.8708040744869232,2.322343431301757,0.7497738933251304,10.990257131205484,,,fixed_tracker=ifo001,runs/20250928_170847_notebook_cv_eval/zig_sections/fixed_tracker_ifo001/fixed_tracker_summary.csv
Fixed tracker,per_experiment,default_3_zigzag_2_ifo003,,Fixed_ifo002,3.76822459213515,2.262132726558719,2.010498453381202,2.24503186461928,46.68836036860143,,,fixed_tracker=ifo002,runs/20250927_combined_notebook_cv_eval/fixed_tracker_ifo002/all_summary.csv
NonZig->Zig generalization,per_fold,default_3_movingTriangle_0b_ifo003,1.0,Baseline_Grid,0.3032759064769639,0.2030404515957715,0.1621496755282488,0.1563916020484885,0.996787639335722,,,scenario_key=A_baseline_grid,runs/20250923_004753_notebook_cv_eval/cv_nonzig/cv_fold_1/A_baseline_grid/all_summary.csv
NonZig->Zig generalization,per_fold,default_3_random2_0_ifo003,2.0,Baseline_Grid,0.5085604562863324,0.4212716691344122,0.2565074907463871,0.1239670346255894,0.7296989062698549,,,scenario_key=A_baseline_grid,runs/20250923_004753_notebook_cv_eval/cv_nonzig/cv_fold_2/A_baseline_grid/all_summary.csv
NonZig->Zig generalization,per_fold,default_3_random3_0b_ifo003,3.0,Baseline_Grid,1.355768135483179,0.6082511140457976,1.2019219806779862,0.1533667885061409,1.680461574317267,,,scenario_key=A_baseline_grid,runs/20250923_004753_notebook_cv_eval/cv_nonzig/cv_fold_3/A_baseline_grid/all_summary.csv
NonZig->Zig generalization,per_fold,default_3_random3_1_ifo003,4.0,Baseline_Grid,1.1823299457921723,1.020889176260261,0.5407563933861835,0.2515390894543936,1.9698742958056128,,,scenario_key=A_baseline_grid,runs/20250923_004753_notebook_cv_eval/cv_nonzig/cv_fold_4/A_baseline_grid/all_summary.csv
NonZig->Zig generalization,per_fold,default_3_random3_2_ifo003,5.0,Baseline_Grid,2.5764893242215,1.5028544053561774,1.992779641468928,0.6391832090065218,4.638762520397811,,,scenario_key=A_baseline_grid,runs/20250923_004753_notebook_cv_eval/cv_nonzig/cv_fold_5/A_baseline_grid/all_summary.csv
NonZig->Zig generalization,per_fold,default_3_random_0_ifo003,6.0,Baseline_Grid,0.5799189268836664,0.4900801578232389,0.2677183170844169,0.1563787177442664,1.109513298995804,,,scenario_key=A_baseline_grid,runs/20250923_004753_notebook_cv_eval/cv_nonzig/cv_fold_6/A_baseline_grid/all_summary.csv
NonZig->Zig generalization,per_fold,default_3_random_0b_ifo003,7.0,Baseline_Grid,0.9923234569024338,0.5318653296933817,0.8247830856047683,0.1468263460323817,1.4344707871209417,,,scenario_key=A_baseline_grid,runs/20250923_004753_notebook_cv_eval/cv_nonzig/cv_fold_7/A_baseline_grid/all_summary.csv
